กก	gok
โจ้กๆ	jo:k
โจ้น	jo:n
โซ	so:
โซกดี	so:k.di:
โซฟา	so:.fa:
โซ้	so:
โญก	ɲo:k
โญน	ɲo:n
โดด	do:t
โดน	do:n
โดยสาน	do:i.sa:n
โด่งดัง	do:ŋ.daŋ
โต	to:
โตหนังสือ	to:.naŋ.sʉ:
โตอย่าง	to:.ya:ŋ
โต่ง	to:ŋ
โต่ะ	to
โถส้วม	tho:.su:am
โถแก้ว	tho:.gɛ:o
โท	tho:
โทน	tho:n
โทละทัด	tho.la.that
โทละสับ	tho.la.sap
โนน	no:n
โน่ดบุ่ก	no:t.buk
โบก	bo:k
โบด	bo:t
โผ่	pho:
โพด	pho:t
โพดโพ	pho:t.pho:
โมง	mo:ŋ
โมโห	mo:.ho:
โล	lo:
โลก	lo:k
โลงบาน	lo:ŋ.ba:n
โลงพะยาบาน	lo:ŋ.pha.ya:.ba:n
โลงหนัง	lo:ŋ.naŋ
โลงเลียน	lo:ŋ.li:an
โลตั่ด	lo:.tat
โล่งโจ่ง	lo:ŋ.jo:ŋ
โล้ง	lo:ŋ
โล้น	lo:n
โอ	o:
โอกาด	o:.ga:t
โอน	o:n
โอ่ง	o:ŋ
โอ่งโล่ง	o:ŋ.lo:ŋ
โอ๊ย	o:i
ใก้	gai
ใคแน่	khai.nɛ:
ใจ	jai
ใจกาง	jai.ga:ŋ
ใจฮ้าย	jai.ha:i
ใซ้	sai
ใซ้งาน	sai.ŋa:n
ใซ้ซีวิด	sai.si:.wit
ใด	dai
ใต้	tai
ใน	nai
ในเมียง	nai.mi:aŋ
ใบ	bai
ใบดอก	bai.dɔ:k
ใบหน้า	bai.na:
ใบเส็ด	bai.set
ใบไม้	bai.mai
ใบ้	bai
ใผ	phai
ใส	sai
ใส่	sai
ใหญ่	ɲai
ใหม่	mai
ให้	hai
ไก	gai
ไก่	gai
ไขมัน	khai.man
ไข่	khai
ไข่ขาว	khai.kha:o
ไข่ดาว	khai.da:o
ไข่เจียว	khai.ji:ao
ไข่แดง	khai.dɛ:ŋ
ไข้เลือดออก	khai.lʉ:at.ɔ:k
ไง่	ŋai
ไซ	sai
ได้	dai
ได้ญิน	dai.ɲin
ได้ลับ	dai.lap
ได้ฮับ	dai.hap
ไต	tai
ไต้	tai
ไถ	thai
ไถฮุด	thai.hut
ไทย	tha:i
ไบบ่าย	bai.ba:i
ไป	pai
ไป่	pai
ไพเลาะ	phai.lɔ
ไฟ	fai
ไฟฟ้า	fai.fa:
ไฟแซ็ก	fai.sɛk
ไม	ma:i
ไม้	mai
ไม้ขีด	mai.khi:t
ไม้ไผ่	mai.phai
ไล่	lai
ไว	wai
ไว้	wai
ไว้ถ้า	wai.tha:
ไหน	nai
ไหม้	mai
ไหล	lai
ไหล่	lai
ไหล้	lai
ไหว	wai
ไหว้	wai
ไหว้พะ	wai.pha
ไอ	ai
ไอติม	ai.tim
ไอน้ำ	ai.na:m
ไฮ่	hai
