กก	gok
ด้วยกัน	du:ai.gan
ด้วยดี	du:ai.di:
ด้าน	da:n
ด้าม	da:m
ด้าย	da:i
ตก	tok
ตกดิน	tok.din
ตกแต่ง	tok.tɛŋ
ตกใจ	tok.jai
ตง	toŋ
ตน	ton
ตบ	top
ตวด	tu:at
ตวดสอบ	tu:at.sɔ:p
ตอก	tɔ:k
ตอน	tɔ:n
ตอนนี้	tɔ:n.ni:
ตอบ	tɔ:p
ตอบแทน	tɔ:p.thɛ:n
ตอม	tɔ:m
ตะก้า	ta.ga:
ตะขอ	ta.khɔ:
ตะปู	ta.pu:
ตะลี	ta.li:
ตะหลก	ta.lok
ตะหลอดเวลา	ta.lɔ:t.we:.la:
ตะหลาด	ta.la:t
ตะหลาดนัด	ta.la:t.nat
ตะเกียบ	ta.gi:ap
ตะเว็น	ta.wen
ตัก	tak
ตัด	tat
ตับ	tap
ตัว	tu:a
ตั้ง	taŋ
ตั้งค้า	taŋ.kha:
ตั้งจิด	taŋ.jit
ตั้งแต่	taŋ.tɛ:
ตั้งใจ	taŋ.jai
ตั๊วะ	tu:a
ตา	ta:
ตาก	ta:k
ตาข่าย	ta:.kha:i
ตาซั่ง	ta:.saŋ
ตาบอด	ta:.bɔ:t
ตาพุฮ้าย	ta:.phu.ha:i
ตาม	ta:m
ตามสั่ง	ta:m.saŋ
ตามีความสุข	ta:.mi:.khwa:m.suk
ตามีแฮง	ta:.mi:.hɛ:ŋ
ตาม่วน	ta:.mu:an
ตาย	ta:i
ตาย้าน	ta:.ya:n
ตาลิโตน	ta:.li.to:n
ตาหน่าย	ta:.na:i
ตาอยากหัว	ta:.ya:k.hu:a
ตาฮัก	ta:.hak
ตาเบิ่ง	ta:.bəŋ
ตาแซบ	ta:.sɛ:p
ตำ	tam
ตำบน	tam.bon
ตำบักหุ่ง	tam.bak.huŋ
ตำหลวด	tam.lu:at
ติ	ti
ติด	tit
ติ่ก	tik
ตี	ti:
ตีน	ti:n
ตีนเปิ่ม	ti:n.pə:m
ตึก	tʉk
ตึ่บ	tʉp
ตื่น	tʉ:n
ตื้น	tʉ:n
ตุลาคม	tu.la:.khom
ตุ่กตุ่ก	tuk.tuk
ตุ้มม้อง	tum.mɔŋ
ตุ้ย	tui
ตู้	tu:
ตู้เย็น	tu:.yen
ต่น	ton
ต่อ	tɔ:
ต่อคิว	tɔ:.kiu
ต่อสู้	tɔ:.su:
ต่อไป	tɔ:.pai
ต่อไปนี้	tɔ:.pai.ni:
ต่าง	ta:ŋ
ต่างปะเทด	ta:ŋ.pa.thet
ต่างๆ	ta:ŋ.ta:ŋ
ต่ำ	tam
ต้น	ton
ต้นก้า	ton.ga:
ต้นเข้า	ton.khao
ต้นไม้	ton.mai
ต้ม	tɔm
ต้อง	tɔŋ
ต้องกาน	tɔŋ.ga:n
ถก	thok
ถอด	thɔ:t
ถะหนน	tha.non
ถะหนนลาดยาง	tha.non.la:t.ya:ŋ
ถะหนัด	tha.nat
ถะหวาย	tha.wa:i
ถะแหมะ	tha.mɛ
ถัง	thaŋ
ถังขะยะ	thaŋ.kha.ya
ถัดไป	that.pai
ถั่วงอก	thu:a.ŋɔ:k
ถาด	tha:t
ถานะ	tha:.na
ถาม	tha:m
ถิ้ม	thim
ถีบ	thi:p
ถี่	thi:
ถึง	thʉŋ
ถืก	thʉ:k
ถืกกัน	thʉ:k.gan
ถืกปาก	thʉ:k.pa:k
ถืกหู	thʉ:k.hu:
ถือ	thʉ:
ถุง	thuŋ
ถุงตีน	thuŋ.ti:n
ถุงเท้า	thuŋ.thao
ถู	thu:
ถ่าน	tha:n
ถ่าย	tha:i
ถ้วม	thu:am
ถ้วย	thu:ai
ถ้อน	thɔ:n
ถ้า	tha:
ทงซาด	thoŋ.sa:t
